Ambito Geografico;Territorio;2015;2016;2017;2018;2019;2019 ajustado
Municipio;ALTER DO CHAO;,,,;2100;7200;1710;589;589
Municipio;ARRONCHES;//;//;0;0;0;0
Municipio;AVIS;24438;30097;28098;0;;14049
Municipio;CAMPO MAIOR;7400;10900;13600;2478;23554;23554
Municipio;CASTELO DE VIDE;9315;4194;3670;9350;7290;7290
Municipio;CRATO;,,,;100;;100;100;100
Municipio;ELVAS;52188;52651;46041;51169;20828;20828
Municipio;FRONTEIRA;//;//;0;0;0;0
Municipio;GAVIAO;1326;8702;13250;10570;2269;2269
Municipio;MARVAO;,,,;//;0;0;0;0
Municipio;MONFORTE;5615;4870;3550;5190;;4370
Municipio;NISA;956;1346;1576;1480;1003;1003
Municipio;PONTE DE SOR;,,,;24000;;17000;20410;20410
Municipio;PORTALEGRE;13960;18278;17184;16218;18852;18852
Municipio;SOUSEL;,,,;7200;;1278;2700;2700
Municipio;ALANDROAL;0;,,,;0;6899;14747;14747
Municipio;ARRAIOLOS;18840;,,,;31910;;27405;27405
Municipio;BORBA;20169;21860;27100;14470;;20785
Municipio;ESTREMOZ;38451;29088;39020;;;39020
Municipio;EVORA;13065;20808;18449;21555;35885;35885
Municipio;MONTEMOR-O-NOVO;22091;,,,;25771;28046;31680;31680
Municipio;MORA;//;//;0;0;0;0
Municipio;MOURAO;0;2000;;8400;;8400
Municipio;PORTEL;//;//;0;;;0
Municipio;REDONDO;,,,;,,,;0;250;2070;2070
Municipio;REGUENGOS DE MONSARAZ;//;//;;;;
Municipio;VENDAS NOVAS;5150;,,,;13430;2008;12040;12040
Municipio;VIANA DO ALENTEJO;,,,;//;0;0;0;0
Municipio;VILA VICOSA;,,,;7500;6500;8700;5350;5350
Municipio;ALBUFEIRA;,,,;2470;2247;177201;23036;23036
Municipio;ALCOUTIM;,,,;,,,;1075;9630;20366;20366
Municipio;ALJEZUR;//;//;;;;
Municipio;CASTRO MARIM;//;//;;;0;0
Municipio;FARO;84161;77177;66011;95157;130491;130491
Municipio;LAGOA;82117;111656;132461;120483;100451;100451
Municipio;LAGOS;22145;27759;;25347;21577;21577
Municipio;LOULE;56914;59929;75490;42637;58869;58869
Municipio;MONCHIQUE;,,,;//;417;;;417
Municipio;OLHAO;15487;13679;9382;14999;28645;28645
Municipio;PORTIMAO;49621;65787;46333;31791;20943;20943
Municipio;SAO BRAS DE ALPORTEL;6131;,,,;4847;;3460;3460
Municipio;SILVES;7900;,,,;17647;;;17647
Municipio;TAVIRA;57200;56689;81141;68746;;74944
Municipio;VILA DO BISPO;6455;,,,;15005;;11103;11103
Municipio;VILA REAL DE SANTO ANTONIO;4302;,,,;7466;5754;4884;4884
