Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
GuardãoTONDELAVISEU;182108;Guardão;TONDELA;VISEU;-16625.859;98002.169
São João do Monte e MosteirinhoTONDELAVISEU;182130;São João do Monte e Mosteirinho;TONDELA;VISEU;-3485.7015;99768.4432
AlcafacheMANGUALDEVISEU;180602;Alcafache;MANGUALDE;VISEU;-9916.2809;99872.1473
Águeda e BorralhaÁGUEDAAVEIRO;10121;Águeda e Borralha;ÁGUEDA;AVEIRO;23026.9427;102942.922
Porto da CarneGUARDAGUARDA;90732;Porto da Carne;GUARDA;GUARDA;-24009.775;100641.936
São Miguel do Outeiro e SabugosaTONDELAVISEU;182131;São Miguel do Outeiro e Sabugosa;TONDELA;VISEU;71457.8474;104618.678
Cortiçô da Serra, Vide entre Vinhas e SalgueiraisCELORICO DA BEIRAGUARDA;90325;Cortiçô da Serra, Vide entre Vinhas e Salgueirais;CELORICO DA BEIRA;GUARDA;8440.34382;101979.42
CabreiroARCOS DE VALDEVEZVIANA DO CASTELO;160106;Cabreiro;ARCOS DE VALDEVEZ;VIANA DO CASTELO;60301.469;102174.003
CerdalVALENÇAVIANA DO CASTELO;160803;Cerdal;VALENÇA;VIANA DO CASTELO;-18439.104;252997.273
AbedimMONÇÃOVIANA DO CASTELO;160401;Abedim;MONÇÃO;VIANA DO CASTELO;-39533.192;256163.099
Quirás e Pinheiro NovoVINHAISBRAGANÇA;41239;Quirás e Pinheiro Novo;VINHAIS;BRAGANÇA;-31599.992;256855.207
SisteloARCOS DE VALDEVEZVIANA DO CASTELO;160145;Sistelo;ARCOS DE VALDEVEZ;VIANA DO CASTELO;82464.3187;253683.494
FrançaBRAGANÇABRAGANÇA;40215;França;BRAGANÇA;BRAGANÇA;-17815.025;256013.506
PortelaMONÇÃOVIANA DO CASTELO;160423;Portela;MONÇÃO;VIANA DO CASTELO;113822.57;252724.477
São Pedro da TorreVALENÇAVIANA DO CASTELO;160812;São Pedro da Torre;VALENÇA;VIANA DO CASTELO;-28964.534;257214.885
Anhões e LuzioMONÇÃOVIANA DO CASTELO;160434;Anhões e Luzio;MONÇÃO;VIANA DO CASTELO;-43890.81;257464.829
Barroças e TaiasMONÇÃOVIANA DO CASTELO;160405;Barroças e Taias;MONÇÃO;VIANA DO CASTELO;-25574.182;257741.168
GavieiraARCOS DE VALDEVEZVIANA DO CASTELO;160113;Gavieira;ARCOS DE VALDEVEZ;VIANA DO CASTELO;-30587.265;258943.928
TruteMONÇÃOVIANA DO CASTELO;160431;Trute;MONÇÃO;VIANA DO CASTELO;-8898.1033;255543.799
Gandra e TaiãoVALENÇAVIANA DO CASTELO;160817;Gandra e Taião;VALENÇA;VIANA DO CASTELO;-27800.557;259923.511
