Group Features ID;Código Grupo
F11F23F27;ArrecadacaoKitchenetteTerraco
F11F24;ArrecadacaoMarquise
F11F27;ArrecadacaoTerraco
F11F29;ArrecadacaoCaldeira
F12;Vista de Mar
F12F13F14F15F17F22F27;Vista de MarVista de RioCozinha EquipadaAquecimento CentralEstacionamentoElevadorTerraco
F12F13F14F22F24;Vista de MarVista de RioCozinha EquipadaElevadorMarquise
F12F14;Vista de MarCozinha Equipada
F12F14F15F16F17F22;Vista de MarCozinha EquipadaAquecimento CentralMobiladoEstacionamentoElevador
F12F14F15F18;Vista de MarCozinha EquipadaAquecimento CentralCondominio Fechado
F12F14F16F17F22F27;Vista de MarCozinha EquipadaMobiladoEstacionamentoElevadorTerraco
F12F14F16F19;Vista de MarCozinha EquipadaMobiladoGas Canalizado
F12F14F16F22F24F25;Vista de MarCozinha EquipadaMobiladoElevadorMarquiseParqueamento
F12F14F17F19F22F23;Vista de MarCozinha EquipadaEstacionamentoGas CanalizadoElevadorKitchenette
F12F14F19F22F23;Vista de MarCozinha EquipadaGas CanalizadoElevadorKitchenette
F12F14F22F23;Vista de MarCozinha EquipadaElevadorKitchenette
F12F15F16F17F19F22;Vista de MarAquecimento CentralMobiladoEstacionamentoGas CanalizadoElevador
F12F15F16F17F19F22F27;Vista de MarAquecimento CentralMobiladoEstacionamentoGas CanalizadoElevadorTerraco
F12F15F17F19F22;Vista de MarAquecimento CentralEstacionamentoGas CanalizadoElevador
F12F15F22;Vista de MarAquecimento CentralElevador
F12F15F22F27;Vista de MarAquecimento CentralElevadorTerraco
F12F16F20F22;Vista de MarMobiladoPiscinaElevador
F12F17F18F22;Vista de MarEstacionamentoCondominio FechadoElevador
F12F17F19;Vista de MarEstacionamentoGas Canalizado
F12F19;Vista de MarGas Canalizado
F12F19F20F22;Vista de MarGas CanalizadoPiscinaElevador
F12F19F22F24;Vista de MarGas CanalizadoElevadorMarquise
F12F19F25;Vista de MarGas CanalizadoParqueamento
F12F22;Vista de MarElevador
F12F22F23;Vista de MarElevadorKitchenette
F12F22F27;Vista de MarElevadorTerraco
F12F23;Vista de MarKitchenette
F13;Vista de Rio
F13F14;Vista de RioCozinha Equipada
F13F14F16F22;Vista de RioCozinha EquipadaMobiladoElevador
F13F14F16F22F27;Vista de RioCozinha EquipadaMobiladoElevadorTerraco
F13F14F17F22;Vista de RioCozinha EquipadaEstacionamentoElevador
F13F14F17F23F25;Vista de RioCozinha EquipadaEstacionamentoKitchenetteParqueamento
F13F14F19;Vista de RioCozinha EquipadaGas Canalizado
F13F14F19F22;Vista de RioCozinha EquipadaGas CanalizadoElevador
F13F14F19F24;Vista de RioCozinha EquipadaGas CanalizadoMarquise
F13F14F22;Vista de RioCozinha EquipadaElevador
F13F14F23;Vista de RioCozinha EquipadaKitchenette
F13F15F16F19F23;Vista de RioAquecimento CentralMobiladoGas CanalizadoKitchenette
F13F16F17F18F20;Vista de RioMobiladoEstacionamentoCondominio FechadoPiscina
F13F16F23;Vista de RioMobiladoKitchenette
F13F17;Vista de RioEstacionamento
F13F17F19;Vista de RioEstacionamentoGas Canalizado
F13F19;Vista de RioGas Canalizado
F13F19F22;Vista de RioGas CanalizadoElevador
F13F19F27;Vista de RioGas CanalizadoTerraco
F13F22;Vista de RioElevador
F13F22F24;Vista de RioElevadorMarquise
F13F22F25;Vista de RioElevadorParqueamento
F13F23;Vista de RioKitchenette
F13F24;Vista de RioMarquise
F13F27;Vista de RioTerraco
F14;Cozinha Equipada
F14F15;Cozinha EquipadaAquecimento Central
F14F15F16;Cozinha EquipadaAquecimento CentralMobilado
F14F15F16F19F22F29;Cozinha EquipadaAquecimento CentralMobiladoGas CanalizadoElevadorCaldeira
F14F15F17;Cozinha EquipadaAquecimento CentralEstacionamento
F14F15F17F18F19F22F25;Cozinha EquipadaAquecimento CentralEstacionamentoCondominio FechadoGas CanalizadoElevadorParqueamento
F14F15F17F19;Cozinha EquipadaAquecimento CentralEstacionamentoGas Canalizado
F14F15F17F19F22;Cozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevador
F14F15F17F19F22F25;Cozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevadorParqueamento
F14F15F17F19F22F25F29;Cozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevadorParqueamentoCaldeira
F14F15F17F19F22F29;Cozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevadorCaldeira
F14F15F17F22;Cozinha EquipadaAquecimento CentralEstacionamentoElevador
F14F15F17F22F23;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorKitchenette
F14F15F17F22F23F27;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorKitchenetteTerraco
F14F15F17F22F24F25;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorMarquiseParqueamento
F14F15F17F22F25F27;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorParqueamentoTerraco
F14F15F17F22F25F29;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorParqueamentoCaldeira
F14F15F17F22F29;Cozinha EquipadaAquecimento CentralEstacionamentoElevadorCaldeira
F14F15F18F19F22F25;Cozinha EquipadaAquecimento CentralCondominio FechadoGas CanalizadoElevadorParqueamento
F14F15F19F22;Cozinha EquipadaAquecimento CentralGas CanalizadoElevador
F14F15F19F22F23;Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorKitchenette
F14F15F19F22F25;Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorParqueamento
F14F15F19F22F25F27;Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorParqueamentoTerraco
F14F15F19F22F25F29;Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorParqueamentoCaldeira
F14F15F21F27;Cozinha EquipadaAquecimento CentralBoxTerraco
F14F15F22;Cozinha EquipadaAquecimento CentralElevador
F14F15F22F24;Cozinha EquipadaAquecimento CentralElevadorMarquise
F14F15F22F25;Cozinha EquipadaAquecimento CentralElevadorParqueamento
F14F15F23;Cozinha EquipadaAquecimento CentralKitchenette
F14F15F24F29;Cozinha EquipadaAquecimento CentralMarquiseCaldeira
F14F15F25;Cozinha EquipadaAquecimento CentralParqueamento
F14F15F27;Cozinha EquipadaAquecimento CentralTerraco
F14F16;Cozinha EquipadaMobilado
F14F16F17;Cozinha EquipadaMobiladoEstacionamento
F14F16F17F20F22;Cozinha EquipadaMobiladoEstacionamentoPiscinaElevador
F14F16F17F22;Cozinha EquipadaMobiladoEstacionamentoElevador
F14F16F17F22F23;Cozinha EquipadaMobiladoEstacionamentoElevadorKitchenette
F14F16F17F23;Cozinha EquipadaMobiladoEstacionamentoKitchenette
F14F16F18F19;Cozinha EquipadaMobiladoCondominio FechadoGas Canalizado
F14F16F18F22;Cozinha EquipadaMobiladoCondominio FechadoElevador
F14F16F19;Cozinha EquipadaMobiladoGas Canalizado
F14F16F19F22;Cozinha EquipadaMobiladoGas CanalizadoElevador
F14F16F19F23;Cozinha EquipadaMobiladoGas CanalizadoKitchenette
F14F16F19F23F24;Cozinha EquipadaMobiladoGas CanalizadoKitchenetteMarquise
F14F16F19F23F29;Cozinha EquipadaMobiladoGas CanalizadoKitchenetteCaldeira
F14F16F22;Cozinha EquipadaMobiladoElevador
F14F16F22F27;Cozinha EquipadaMobiladoElevadorTerraco
F14F16F23;Cozinha EquipadaMobiladoKitchenette
F14F16F23F27;Cozinha EquipadaMobiladoKitchenetteTerraco
F14F16F24;Cozinha EquipadaMobiladoMarquise
F14F16F27;Cozinha EquipadaMobiladoTerraco
F14F16F29;Cozinha EquipadaMobiladoCaldeira
F14F17;Cozinha EquipadaEstacionamento
F14F17F18;Cozinha EquipadaEstacionamentoCondominio Fechado
F14F17F18F19F22F25;Cozinha EquipadaEstacionamentoCondominio FechadoGas CanalizadoElevadorParqueamento
F14F17F18F22F27;Cozinha EquipadaEstacionamentoCondominio FechadoElevadorTerraco
F14F17F18F23F25;Cozinha EquipadaEstacionamentoCondominio FechadoKitchenetteParqueamento
F14F17F19;Cozinha EquipadaEstacionamentoGas Canalizado
F14F17F19F22;Cozinha EquipadaEstacionamentoGas CanalizadoElevador
F14F17F19F22F25;Cozinha EquipadaEstacionamentoGas CanalizadoElevadorParqueamento
F14F17F19F22F29;Cozinha EquipadaEstacionamentoGas CanalizadoElevadorCaldeira
F14F17F19F23;Cozinha EquipadaEstacionamentoGas CanalizadoKitchenette
F14F17F20;Cozinha EquipadaEstacionamentoPiscina
F14F17F22;Cozinha EquipadaEstacionamentoElevador
F14F17F22F25;Cozinha EquipadaEstacionamentoElevadorParqueamento
F14F17F22F25F27;Cozinha EquipadaEstacionamentoElevadorParqueamentoTerraco
F14F17F22F27;Cozinha EquipadaEstacionamentoElevadorTerraco
F14F17F23;Cozinha EquipadaEstacionamentoKitchenette
F14F17F23F27;Cozinha EquipadaEstacionamentoKitchenetteTerraco
F14F17F25;Cozinha EquipadaEstacionamentoParqueamento
F14F17F27;Cozinha EquipadaEstacionamentoTerraco
F14F18F22;Cozinha EquipadaCondominio FechadoElevador
F14F19;Cozinha EquipadaGas Canalizado
F14F19F20F22F26F27F29;Cozinha EquipadaGas CanalizadoPiscinaElevadorPiso RadianteTerracoCaldeira
F14F19F20F22F26F29;Cozinha EquipadaGas CanalizadoPiscinaElevadorPiso RadianteCaldeira
F14F19F21F22;Cozinha EquipadaGas CanalizadoBoxElevador
F14F19F22;Cozinha EquipadaGas CanalizadoElevador
F14F19F22F24;Cozinha EquipadaGas CanalizadoElevadorMarquise
F14F19F22F24F25;Cozinha EquipadaGas CanalizadoElevadorMarquiseParqueamento
F14F19F22F25;Cozinha EquipadaGas CanalizadoElevadorParqueamento
F14F19F22F27;Cozinha EquipadaGas CanalizadoElevadorTerraco
F14F19F24;Cozinha EquipadaGas CanalizadoMarquise
F14F19F25F27;Cozinha EquipadaGas CanalizadoParqueamentoTerraco
F14F19F27;Cozinha EquipadaGas CanalizadoTerraco
F14F20;Cozinha EquipadaPiscina
F14F22;Cozinha EquipadaElevador
F14F22F23;Cozinha EquipadaElevadorKitchenette
F14F22F23F24;Cozinha EquipadaElevadorKitchenetteMarquise
F14F22F24;Cozinha EquipadaElevadorMarquise
F14F22F25;Cozinha EquipadaElevadorParqueamento
F14F22F25F27;Cozinha EquipadaElevadorParqueamentoTerraco
F14F22F26;Cozinha EquipadaElevadorPiso Radiante
F14F22F26F27;Cozinha EquipadaElevadorPiso RadianteTerraco
F14F22F27;Cozinha EquipadaElevadorTerraco
F14F22F29;Cozinha EquipadaElevadorCaldeira
F14F23;Cozinha EquipadaKitchenette
F14F23F27;Cozinha EquipadaKitchenetteTerraco
F14F23F29;Cozinha EquipadaKitchenetteCaldeira
F14F24;Cozinha EquipadaMarquise
F14F24F27;Cozinha EquipadaMarquiseTerraco
F14F25;Cozinha EquipadaParqueamento
F14F27;Cozinha EquipadaTerraco
F14F29;Cozinha EquipadaCaldeira
F15;Aquecimento Central
F15F16;Aquecimento CentralMobilado
F15F16F17F19F22F24F29;Aquecimento CentralMobiladoEstacionamentoGas CanalizadoElevadorMarquiseCaldeira
F15F16F17F22F24;Aquecimento CentralMobiladoEstacionamentoElevadorMarquise
F15F16F18F27;Aquecimento CentralMobiladoCondominio FechadoTerraco
F15F17;Aquecimento CentralEstacionamento
F15F17F18F22;Aquecimento CentralEstacionamentoCondominio FechadoElevador
